State_Origin,State_Destination,City_Origin,City_Destination,Distance,Speed,Sea_Level_Diff,Sea_Level_Diff_Miles,Sea_Level_Gradient
State,State,tampa,orlando,84.20,0,0,0
State,State,owosso,annarbor,68.50,0,0,0
State,State,owosso,grandrapids,94.10,0,0,0
State,State,dayton,cincinnati,54.20,0,0,0
State,State,baltimore,towson,14.40,0,0,0
State,State,baltimore,annapolis,32.80,0,0,0
State,State,burlington,winooski,2.10,0,0,0
State,State,northkingstown,newport,11.00,0,0,0
State,State,northkingstown,westerly,31.00,0,0,0
State,State,northkingstown,warwick,17.00,0,0,0
State,State,woonsocket,providence,15.00,0,0,0
State,State,atlanticcity,camden,57.80,0,0,0
State,State,williamsburg,richmond,51.60,0,0,0
State,State,williamsburg,hampton,29.30,0,0,0
State,State,raleigh,willmigton,128.00,0,0,0
State,State,raleigh,durham,25.00,0,0,0
State,State,barre,montpelier,7.20,0,0,0
State,State,barre,winooski,3.40,0,0,0
State,State,barre,rutland,64.50,0,0,0
State,State,annapolis,baltimore,32.80,0,0,0
State,State,annapolis,washingtondc,31.70,0,0,0
State,State,annapolis,washington,31.70,0,0,0
State,State,annapolis,washintgton,32.20,0,0,0
State,State,sumter,columbia,44.50,0,0,0
State,State,vienna,martinsburgs,263.00,0,0,0
State,State,vienna,charleston,82.00,0,0,0
State,State,vienna,columbus,113.00,0,0,0
State,State,lexington,cynthiana,29.00,0,0,0
State,State,lexington,fredrickburg,487.00,0,0,0
State,State,lexington,lawrenceburg,23.00,0,0,0
State,State,lafayette,southbend,107.40,0,0,0
State,State,lafayette,indianapolis,63.10,0,0,0
State,State,portsmouth,rochester,23.10,0,0,0
State,State,richmond,greensboro,202.00,0,0,0
State,State,richmond,fredericksburg,58.50,0,0,0
State,State,richmond,williamsburg,51.60,0,0,0
State,State,pepperell,fitchburg,15.40,0,0,0
State,State,pepperell,nashua,12.00,0,0,0
State,State,summersville,ansted,23.00,0,0,0
State,State,newport,northkingstown,11.00,0,0,0
State,State,athens,clemson,79.00,0,0,0
State,State,athens,atlanta,72.00,0,0,0
State,State,charlotte,greenbore,92.00,0,0,0
State,State,charlotte,spartanburg,75.00,0,0,0
State,State,pittsburg,akron,111.00,0,0,0
State,State,oceancity,frankford,21.80,0,0,0
State,State,annarbor,owosso,68.50,0,0,0
State,State,annarbor,detroit,43.00,0,0,0
State,State,annarbor,toledo,54.00,0,0,0
State,State,stalbanscity,winooski,25.30,0,0,0
State,State,waterbury,hartford,35.50,0,0,0
State,State,waterbury,newhaven,22.90,0,0,0
State,State,waterbury,danbury,28.20,0,0,0
State,State,fitchburg,pepperell,15.40,0,0,0
State,State,fitchburg,leominster,5.20,0,0,0
State,State,fitchburg,amherst,49.10,0,0,0
State,State,columbia,sumter,44.50,0,0,0
State,State,columbia,augusta,77.00,0,0,0
State,State,columbia,spartanburg,93.00,0,0,0
State,State,hampton,williamsburg,29.30,0,0,0
State,State,hampton,virginiabeach,44.30,0,0,0
State,State,providence,boston,51.00,0,0,0
State,State,providence,warwick,12.00,0,0,0
State,State,providence,woonsocket,15.00,0,0,0
State,State,fredericksburg,richmond,58.50,0,0,0
State,State,fredericksburg,alexandria,47.80,0,0,0
State,State,fredericksburg,washington,52.30,0,0,0
State,State,willmigton,raleigh,128.00,0,0,0
State,State,allentown,philadelphia,59.50,0,0,0
State,State,allentown,scranton,76.40,0,0,0
State,State,clemson,greenville,30.20,0,0,0
State,State,clemson,athens,79.00,0,0,0
State,State,greenville,asheville,63.00,0,0,0
State,State,greenville,clemson,30.20,0,0,0
State,State,greenville,spartanburg,30.20,0,0,0
State,State,louisville,cynthiana,26.00,0,0,0
State,State,atlanta,macon,84.00,0,0,0
State,State,atlanta,athens,72.00,0,0,0
State,State,rutland,keene,72.00,0,0,0
State,State,rutland,barre,64.50,0,0,0
State,State,rutland,troy,84.40,0,0,0
State,State,boston,providence,51.00,0,0,0
State,State,boston,leominster,43.00,0,0,0
State,State,silverspring,frederick,41.70,0,0,0
State,State,silverspring,washingtondc,6.10,0,0,0
State,State,macon,atlanta,84.00,0,0,0
State,State,macon,columbus,99.00,0,0,0
State,State,jacksonville,savannah,139.00,0,0,0
State,State,jacksonville,orlando,141.00,0,0,0
State,State,alexandria,fredericksburg,47.80,0,0,0
State,State,indianapolis,lafayette,63.10,0,0,0
State,State,indianapolis,bloomington,50.70,0,0,0
State,State,keene,nashua,48.610,0,0,0
State,State,keene,rutland,72.00,0,0,0
State,State,statecollege,pittsburgh,136.00,0,0,0
State,State,philadelphia,towson,100.80,0,0,0
State,State,philadelphia,wilmington,31.20,0,0,0
State,State,philadelphia,camden,5.10,0,0,0
State,State,philadelphia,allentown,59.50,0,0,0
State,State,cynthiana,louisville,26.00,0,0,0
State,State,cynthiana,lexington,29.00,0,0,0
State,State,danbury,waterbury,28.20,0,0,0
State,State,detroit,annarbor,43.00,0,0,0
State,State,leominster,boston,43.00,0,0,0
State,State,leominster,fitchburg,5.20,0,0,0
State,State,milford,frankford,31.30,0,0,0
State,State,milford,dover,19.80,0,0,0
State,State,cleveland,erie,103.00,0,0,0
State,State,cleveland,akron,39.30,0,0,0
State,State,cleveland,toledo,114.00,0,0,0
State,State,virginiabeach,hampton,44.30,0,0,0
State,State,newbrunswick,elizabeth,22.10,0,0,0
State,State,newbrunswick,trenton,25.20,0,0,0
State,State,wilmington,newark,14.40,0,0,0
State,State,wilmington,philadelphia,31.20,0,0,0
State,State,wilmington,myrtlebeach,72.00,0,0,0
State,State,rockville,washingtondc,17.70,0,0,0
