	allentownpa	anstedwv	syracuseny	stalbanscityvt	athensga	daytonoh	tampafl	camdennj	summersvillewv	leominsterma	lawrenceburgky	newyorkcityny	virginiabeachva	keenenh	fortlauderdalefl	detroitmi	rutlandvt	milfordde	sumtersc	toledooh	fredericksburgva	charlottenc	stamfordct	danburyct	brunswickme	southbendin	ashevillenc	jacksonvillefl	atlanticcitynj	greensboronc	watervilleme	rochesternh	westerlyri	cincinnatioh	columbiasc	lagrangeky	providenceri	lexingtonky	scrantonpa	owossomi	savannahga	rochesterny	fredericksonwa	woonsocketri	wilmingtonnc	trentonnj	northkingstownri	wilmingtonde	statecollegepa	baltimoremd	raleighnc	atlantaga	clevelandoh	cynthianaky	durhamnc	spartanburgsc	indianapolisin	oceancitymd	williamsburgva	augustame	charlestonwv	fortwaynein	grandrapidsmi	newarkde	lewistonme	pepperellma	louisvilleky	concordnh	frankfordde	buffalony	hagerstownmd	annapoliswa	evansvillein	frankfortky	washingtondcwa	miamifl	hartfordct	middletownde	newhavenct	columbusga	nashuanh	columbusoh	elizabethnj	newportri	fitchburgma	orlandofl	amherstma	augustaga	towsonmd	portsmouthnh	portlandme	hamptonva	viennawv	myrtlebeachsc	montpeliervt	doverde	waterburyct	pittsburghpa	burlingtonvt	cadillacmi	greenvillesc	newarknj	martinsburgswv	philadelphiapa	akronoh	keywestfl	newbrunswicknj	chicopeema	rockvillemd	annarbormi	traversecitymi	westspringfieldma	troyny	barrevt	manchesternh	silverspringmd	cooperstownny	clemsonsc	lafayettein	alexandriava	bridgeportct	winooskivt	eriepa	richmondva	bluefieldwv	warwickri	bangorme	bloomingtonin	maconga	
fredericksburgva	241.95	256.12	417.14	592.36	536.91	488.66	853.43	194.16	256.96	474.96	518.11	278.46	158.08	491.74	983.9	566.9	506.6	151.08	393.06	513.63	0.0	351.23	319.04	344.96	614.61	656.04	431.18	656.97	244.81	260.56	663.05	561.47	419.6	509.9	428.36	551.45	459.31	487.14	288.3	633.99	524.2	434.86	2831.93	473.41	315.36	222.87	447.18	162.17	265.44	98.48	228.96	588.05	417.61	488.76	209.24	417.47	592.82	201.32	103.01	644.2	312.16	603.76	697.8	149.92	619.74	489.97	558.19	543.38	174.97	425.12	116.96	2852.71	676.64	509.07	53.11	1008.8	395.66	151.26	359.93	695.93	512.42	418.41	266.47	458.01	478.95	798.56	442.68	500.15	112.66	542.6	590.01	129.94	313.77	380.59	590.85	148.63	371.2	290.03	564.91	756.83	445.56	271.3	104.77	193.23	394.84	1160.6	250.78	421.91	65.91	565.18	804.79	419.63	423.58	588.88	528.19	67.65	425.48	477.24	653.62	47.75	340.27	567.93	412.54	59.02	281.82	452.97	717.69	642.52	620.27	
charlottenc	558.24	236.44	725.96	942.93	193.69	456.22	579.7	541.09	252.79	821.49	412.58	624.98	343.95	838.67	710.17	629.03	857.15	498.01	110.7	564.38	351.23	0.0	665.97	691.89	961.14	684.07	129.96	383.24	591.74	92.25	1009.58	908.4	766.53	461.84	92.84	467.59	806.23	400.48	595.37	685.07	251.89	724.51	2816.24	820.34	201.09	569.8	794.1	509.09	526.02	445.41	165.95	244.82	514.24	427.38	145.35	74.25	573.55	466.51	337.91	990.72	264.1	582.94	748.89	496.85	966.27	836.5	474.32	890.31	472.17	659.59	406.85	2837.03	557.82	425.2	400.03	735.07	742.59	498.19	706.85	352.71	859.34	424.84	613.4	804.93	825.47	524.83	789.2	164.92	459.58	889.52	936.54	337.84	350.69	175.31	937.38	495.56	718.12	447.91	915.47	807.92	102.34	618.22	386.37	540.16	478.79	886.87	597.7	768.44	412.84	616.26	855.88	766.15	774.15	935.4	875.12	414.57	734.3	134.01	634.36	395.35	687.2	918.5	568.67	292.69	170.45	799.89	1064.21	576.28	285.04	
stamfordct	139.05	568.47	261.29	336.44	856.26	667.6	1168.16	135.8	546.44	159.5	783.31	40.7	402.19	179.44	1298.63	651.98	233.43	225.5	708.8	597.49	319.04	665.97	0.0	31.98	299.16	739.1	737.88	971.71	165.94	575.3	347.6	242.63	103.03	704.57	744.63	780.13	141.95	751.51	149.58	719.07	840.98	347.36	2909.37	156.46	630.1	106.04	130.37	164.68	274.51	226.39	543.7	905.11	499.11	759.93	523.98	734.6	771.32	277.51	419.04	328.74	578.16	683.38	782.89	170.23	304.28	174.52	804.42	225.7	256.16	387.54	289.39	2929.37	925.58	773.8	264.91	1323.54	76.91	184.15	41.95	1011.96	194.08	597.71	56.18	141.06	163.49	1113.3	127.22	815.22	226.09	223.94	274.56	444.68	534.95	697.89	275.39	207.63	52.3	407.18	311.41	841.91	762.44	50.35	308.35	133.26	475.46	1475.33	74.76	106.46	266.75	650.26	889.88	104.17	160.71	273.42	213.29	260.85	180.56	793.12	794.57	272.37	23.12	312.01	453.21	374.6	604.49	134.9	402.23	821.09	936.1	
danburyct	158.36	587.79	247.67	317.41	882.19	675.38	1194.09	161.72	565.76	142.3	802.63	68.94	428.12	160.41	1324.56	659.76	194.06	251.42	734.72	605.27	344.96	691.89	31.98	0.0	281.96	746.88	757.2	997.63	191.86	601.22	330.4	225.43	112.39	712.35	770.55	787.91	151.32	770.82	135.66	726.85	866.9	333.74	2917.15	139.85	656.02	131.96	131.23	190.61	282.29	252.31	569.62	931.04	506.89	767.71	549.9	760.52	779.1	303.43	444.97	311.54	597.48	691.16	790.67	196.15	287.09	157.32	812.2	208.51	282.08	373.92	308.71	2937.15	933.36	791.55	290.84	1349.46	58.15	210.07	35.13	1037.88	176.89	605.49	82.1	141.93	146.29	1139.22	108.19	841.14	252.01	206.74	257.36	470.6	554.26	723.82	256.36	233.55	28.22	414.96	292.38	849.7	788.37	76.28	327.67	159.18	483.24	1501.26	100.69	87.43	292.68	658.04	897.66	85.14	121.08	254.39	196.09	286.78	158.45	819.04	802.35	298.3	29.12	292.98	439.59	400.53	623.8	144.26	385.03	828.87	962.03	
brunswickme	436.77	865.86	434.88	306.95	1149.35	968.83	1466.96	432.45	843.52	148.78	1080.44	338.73	701.15	181.34	1597.43	830.29	236.52	521.64	1005.5	875.63	614.61	961.14	299.16	281.96	0.0	1018.04	1034.84	1270.51	461.95	871.8	56.32	74.49	230.03	1005.82	1040.79	1081.4	187.69	1049.47	420.12	875.45	1136.64	515.59	3193.93	176.42	926.05	402.23	210.41	461.77	566.45	527.64	840.45	1200.48	763.16	1060.95	820.3	1029.91	1072.98	572.55	715.45	36.01	875.49	965.77	960.23	467.53	20.75	141.03	1104.98	134.41	552.79	578.55	586.38	3214.72	1223.52	1084.73	560.92	1622.34	224.55	480.61	260.81	1308.37	136.35	899.5	352.78	201.91	152.8	1412.1	199.09	1112.59	522.74	76.79	26.16	740.43	837.77	993.03	245.91	504.51	254.77	699.62	281.93	989.07	1058.0	347.8	605.58	430.09	785.42	1774.13	372.51	213.23	562.51	872.8	1037.03	215.35	297.07	243.93	119.23	556.87	363.62	1089.67	1079.85	568.43	276.9	282.52	666.29	671.46	901.87	199.22	110.28	1122.68	1232.71	
southbendin	642.61	466.37	589.05	835.71	734.26	227.74	1131.0	675.2	506.55	878.39	307.3	700.97	811.69	820.88	1314.89	218.39	795.8	697.1	810.17	155.51	656.04	684.07	739.1	746.88	1018.04	0.0	608.03	1020.76	732.82	664.47	1066.48	961.52	839.66	245.76	756.14	273.62	879.37	326.23	614.24	189.53	923.89	513.61	2176.37	876.63	867.33	690.37	867.24	663.79	482.29	613.61	738.64	676.15	256.33	309.48	715.72	666.14	147.08	747.33	756.04	1047.62	420.1	90.41	113.83	645.85	1023.17	893.4	257.37	871.51	720.99	448.7	542.54	2197.15	314.94	308.61	607.81	1337.74	803.04	685.5	779.99	780.17	912.97	255.79	700.89	878.07	882.38	1113.88	824.9	821.65	616.98	942.82	993.44	781.67	369.04	846.94	862.36	694.64	773.11	372.87	810.71	208.37	660.77	691.53	555.21	671.19	277.86	1495.3	702.78	811.3	591.3	176.93	255.85	808.93	732.62	860.39	932.18	602.64	676.05	687.36	107.42	623.51	760.33	813.74	357.8	711.6	525.76	873.03	1121.11	196.73	759.19	
ashevillenc	604.66	265.84	772.8	989.77	157.87	417.44	638.58	610.99	282.18	895.19	298.0	690.96	423.9	908.32	769.05	625.74	903.99	577.96	213.07	565.55	431.18	129.96	737.88	757.2	1034.84	608.03	0.0	442.12	661.64	172.72	1083.28	978.05	838.44	364.59	159.04	353.0	878.15	285.9	641.79	681.78	311.71	753.92	2701.66	892.26	336.23	639.7	866.02	579.0	572.44	508.71	247.04	197.93	543.64	312.8	225.3	69.04	471.24	546.46	417.86	1064.42	293.5	542.32	718.45	566.75	1039.97	910.2	359.74	959.96	552.12	689.01	453.27	2722.44	443.24	310.62	471.62	793.95	812.24	578.14	778.77	305.82	928.99	395.39	683.3	876.85	899.17	583.71	862.9	183.43	522.89	959.18	1010.24	417.79	380.09	306.91	970.55	575.5	783.43	477.31	962.31	804.63	63.67	680.87	432.8	610.06	508.18	945.75	668.55	842.14	476.14	612.97	852.59	839.85	820.99	968.58	944.77	477.88	781.14	90.26	534.06	475.3	759.11	965.34	598.06	372.64	199.84	871.81	1137.91	461.7	276.23	
jacksonvillefl	894.62	618.01	1072.43	1245.97	342.14	837.79	199.85	846.83	634.36	1131.95	728.96	935.66	630.95	1144.41	326.48	1010.59	1160.2	803.75	280.03	945.95	656.97	383.24	971.71	997.63	1270.51	1020.76	442.12	0.0	897.48	448.15	1320.54	1214.14	1072.27	795.55	290.62	788.69	1111.98	716.86	940.97	1066.63	139.19	1092.85	3000.38	1126.08	436.79	875.54	1099.85	814.84	918.11	751.15	454.49	345.65	895.82	743.76	479.84	376.96	878.34	752.57	639.42	1300.23	645.68	973.28	1134.87	802.59	1277.51	1149.12	765.07	1196.05	758.23	1041.72	769.63	3021.17	741.96	741.58	705.78	351.38	1048.33	803.93	1012.6	290.84	1165.09	806.41	919.14	1110.68	1136.76	141.14	1099.34	255.63	765.33	1195.27	1245.63	623.9	732.26	357.54	1244.46	801.3	1023.87	829.48	1218.51	1189.47	387.29	923.97	767.95	845.9	860.36	503.18	903.45	1078.2	718.58	997.82	1237.43	1075.7	1078.04	1242.49	1180.86	720.32	1081.74	414.75	941.15	701.1	992.94	1224.65	950.24	598.43	552.02	1105.64	1374.5	860.04	269.3	
atlanticcitynj	124.8	507.86	315.34	438.62	782.04	601.28	1093.94	57.65	485.83	322.3	722.7	125.8	236.63	342.24	1224.41	645.71	352.84	151.27	634.57	591.22	244.81	591.74	165.94	191.86	461.95	732.82	661.64	897.48	0.0	501.07	510.39	405.43	267.02	634.42	670.4	709.99	305.94	690.9	186.2	712.79	766.75	401.4	2903.1	320.45	555.87	90.69	294.36	85.45	253.53	152.17	469.47	830.89	492.83	692.76	449.75	660.37	705.0	99.81	344.82	491.53	517.55	680.6	776.61	96.0	467.08	337.31	734.28	388.5	90.59	436.06	227.35	2923.1	855.44	713.19	190.69	1249.31	242.56	109.92	206.83	937.73	356.88	530.49	113.37	305.05	326.29	1039.07	290.01	740.99	151.86	386.73	437.35	370.45	474.34	623.67	438.19	133.4	218.09	366.57	411.16	835.64	688.22	118.2	247.92	61.77	469.77	1401.11	106.16	269.25	192.53	643.99	883.6	266.97	269.84	436.21	376.08	186.63	323.68	718.89	765.57	198.15	187.17	414.19	462.83	300.38	528.25	298.89	565.02	754.77	861.88	
greensboronc	472.63	216.85	640.63	849.56	280.47	436.63	644.6	450.42	233.19	732.15	450.46	535.65	253.28	748.0	775.07	608.21	763.78	407.34	172.07	544.78	260.56	92.25	575.3	601.22	871.8	664.47	172.72	448.15	501.07	0.0	920.25	817.73	675.86	442.24	183.18	483.8	715.57	419.49	509.75	664.25	324.84	656.51	2817.86	729.67	205.3	479.13	703.43	418.42	440.4	354.74	76.62	331.6	494.65	421.11	54.68	161.03	553.96	375.84	247.24	901.38	244.51	563.35	728.06	406.18	876.93	747.16	490.53	799.64	381.5	638.77	321.24	2838.64	613.21	441.41	309.37	799.97	651.92	407.52	616.19	439.49	768.67	405.25	522.73	714.26	736.14	589.73	699.88	255.26	368.91	798.86	847.21	247.17	331.1	196.01	848.04	404.89	627.45	428.32	822.1	787.09	189.12	527.55	300.76	449.49	459.19	951.77	507.03	679.11	322.17	595.44	835.06	676.82	680.78	846.07	784.45	323.9	648.97	220.79	614.76	304.69	596.53	825.13	549.07	202.02	150.86	709.22	974.88	592.49	375.38	
watervilleme	485.21	914.3	484.91	239.95	1197.79	1017.27	1517.0	480.89	891.96	198.81	1128.89	391.33	749.59	229.78	1647.47	809.46	286.55	570.08	1053.94	924.08	663.05	1009.58	347.6	330.4	56.32	1066.48	1083.28	1320.54	510.39	920.25	0.0	122.93	278.48	1054.26	1089.24	1129.85	236.13	1097.92	468.56	854.62	1185.08	565.62	3242.38	224.86	974.49	450.67	258.86	510.21	614.89	576.08	888.9	1248.93	811.6	1109.39	868.74	1078.35	1121.43	620.99	763.89	22.78	923.94	1014.21	939.41	515.97	54.31	191.07	1153.42	182.85	601.24	628.59	634.82	3263.16	1271.96	1133.17	609.36	1672.37	272.99	529.05	309.25	1356.81	184.79	947.94	401.22	250.35	202.84	1462.13	249.13	1161.03	571.19	125.23	76.19	788.87	886.21	1041.47	200.02	552.95	303.21	748.06	239.96	968.25	1106.44	396.24	654.02	478.53	833.87	1824.17	420.96	263.27	610.95	851.97	1016.21	265.39	347.11	200.21	167.67	605.31	413.66	1138.12	1128.29	616.87	325.34	240.56	714.73	719.9	950.31	247.67	55.75	1171.13	1281.15	
rochesternh	380.24	809.34	378.51	214.31	1092.83	912.54	1410.6	375.92	786.99	92.41	1023.48	282.36	644.63	88.38	1541.07	773.92	143.88	465.11	948.98	820.48	561.47	908.4	242.63	225.43	74.49	961.52	978.05	1214.14	405.43	817.73	122.93	0.0	173.51	949.5	984.27	1025.07	131.16	991.68	363.59	819.08	1080.11	459.22	3137.41	119.9	872.53	345.7	153.89	405.25	509.93	471.11	786.13	1143.96	706.85	1004.87	766.41	973.38	1016.46	516.02	661.48	104.07	818.97	909.24	903.87	411.0	79.62	69.01	1049.36	35.18	496.27	522.19	529.85	3158.19	1166.99	1028.71	504.39	1565.97	168.03	424.08	204.29	1251.85	60.59	842.65	296.26	145.38	96.44	1355.73	142.73	1056.06	466.22	21.43	49.89	687.11	781.24	936.51	153.26	447.99	198.25	643.09	189.28	932.71	1001.47	291.27	549.05	373.56	707.22	1717.77	315.99	156.87	505.98	816.43	980.67	158.99	179.34	151.29	42.5	500.35	307.26	1033.15	1023.32	514.81	220.38	189.88	609.77	617.04	845.34	142.7	177.56	1066.16	1176.18	
westerlyri	239.61	671.05	311.17	317.61	954.42	768.16	1268.73	237.51	648.71	93.18	883.87	141.26	502.75	136.89	1399.2	752.54	214.6	326.06	809.36	698.05	419.6	766.53	103.03	112.39	230.03	839.66	838.44	1072.27	267.02	675.86	278.48	173.51	0.0	805.13	845.19	880.69	43.67	852.07	245.26	751.73	941.71	391.88	3009.93	57.78	730.66	207.29	31.54	265.24	375.07	326.95	644.26	1005.55	599.67	860.49	624.54	835.16	871.88	378.07	519.61	259.61	680.69	783.95	883.45	270.79	235.16	108.19	904.98	159.07	356.72	454.84	389.95	3029.93	1026.14	874.36	365.48	1424.1	58.57	284.71	64.12	1113.44	127.45	698.27	157.85	40.53	97.17	1213.86	108.39	917.65	326.65	154.82	205.43	545.24	642.96	798.46	256.57	308.19	85.2	507.74	292.59	865.36	863.0	152.86	410.77	233.82	576.02	1575.9	177.58	87.63	367.31	750.82	913.32	85.34	173.36	254.59	146.07	361.41	239.91	893.68	895.13	372.94	80.91	293.19	542.42	475.16	707.06	37.33	333.11	921.65	1037.77	
cincinnatioh	551.92	244.65	576.82	825.21	482.63	54.2	916.14	576.8	284.84	866.16	100.96	639.13	619.41	809.26	1100.02	262.93	783.57	591.36	566.26	202.31	509.9	461.84	704.57	712.35	1005.82	245.76	364.59	795.55	634.42	442.24	1054.26	949.5	805.13	0.0	512.23	75.62	844.84	82.79	579.7	318.97	664.91	501.39	2378.21	864.04	645.1	591.97	832.7	565.39	429.78	507.88	516.41	460.7	248.42	56.56	493.49	422.23	112.3	641.6	563.76	1035.4	198.39	179.08	355.64	565.91	1010.95	881.18	99.91	859.19	615.25	436.48	436.81	2398.99	218.01	79.26	502.07	1122.87	768.5	579.77	745.46	564.71	900.45	106.64	630.3	843.53	870.15	899.02	812.68	536.62	511.24	930.63	981.22	589.4	194.95	625.23	850.13	588.91	738.58	289.01	798.49	441.81	416.86	628.13	449.48	572.79	231.98	1280.43	616.73	799.08	485.56	250.16	489.77	796.71	720.39	848.16	916.22	496.91	663.82	443.45	175.11	516.51	725.8	801.52	345.21	514.42	304.04	838.49	1108.89	128.84	543.73	
columbiasc	647.52	327.78	816.89	1018.55	163.51	547.46	487.08	619.75	344.12	901.14	445.92	704.64	402.13	921.08	617.55	719.96	932.77	576.67	44.54	659.37	428.36	92.84	744.63	770.55	1040.79	756.14	159.04	290.62	670.4	183.18	1089.24	984.27	845.19	512.23	0.0	499.72	884.9	433.93	685.65	776.0	157.01	815.44	2848.69	899.0	208.82	648.46	872.76	587.75	611.16	524.07	226.78	213.99	606.24	463.96	233.96	93.03	618.57	525.48	410.98	1070.37	355.44	674.39	839.82	575.51	1045.92	916.15	508.26	967.34	531.14	750.52	498.18	2869.47	591.99	458.59	478.69	642.45	821.25	576.85	785.52	316.17	935.72	516.59	692.06	883.59	905.13	432.21	868.86	75.9	538.24	965.58	1016.2	397.23	442.03	152.8	1017.03	574.22	796.78	538.34	991.09	898.84	103.36	696.88	477.71	618.89	569.83	794.25	676.36	848.1	491.5	707.19	946.81	845.81	849.77	1015.06	954.93	493.23	825.23	130.82	681.72	473.94	765.86	994.12	659.49	370.71	261.78	878.55	1143.87	609.15	196.02	
lagrangeky	627.48	285.1	652.41	900.8	501.79	128.47	898.93	652.36	325.28	941.75	46.64	714.71	660.96	884.82	1082.82	337.64	859.16	666.93	553.75	276.58	551.45	467.59	780.13	787.91	1081.4	273.62	353.0	788.69	709.99	483.8	1129.85	1025.07	880.69	75.62	499.72	0.0	920.4	71.2	655.27	393.68	652.39	576.98	2397.11	939.6	686.65	667.54	908.27	640.95	505.35	583.44	557.97	443.68	323.98	86.32	535.05	409.71	131.19	717.16	605.32	1110.98	238.84	252.43	385.09	641.48	1086.53	956.76	25.34	934.75	690.81	512.06	512.37	2417.89	143.57	41.28	577.64	1105.67	844.06	655.33	821.02	547.7	976.01	182.2	705.87	919.1	945.74	881.81	888.27	524.1	586.81	1006.19	1056.8	630.95	265.28	647.59	925.72	664.47	814.14	364.57	874.08	479.64	404.35	703.69	525.04	648.35	307.55	1263.23	692.29	874.66	561.12	324.87	527.11	872.29	795.98	923.75	991.78	572.47	739.41	430.93	194.01	592.1	801.36	877.11	420.78	555.98	344.49	914.06	1184.48	121.65	526.72	
providenceri	279.32	709.98	305.51	290.02	993.34	807.87	1308.43	276.44	687.64	61.83	923.58	180.97	542.46	105.54	1438.9	700.92	177.16	365.77	849.07	737.76	459.31	806.23	141.95	151.32	187.69	879.37	878.15	1111.98	305.94	715.57	236.13	131.16	43.67	844.84	884.9	920.4	0.0	891.78	284.97	746.08	980.63	386.22	3049.64	14.65	770.37	246.22	23.21	304.95	414.78	366.66	683.97	1044.48	633.85	900.2	664.24	874.87	911.59	417.78	559.31	217.27	719.61	823.65	830.87	310.5	192.82	77.62	944.69	116.73	396.43	449.19	429.66	3069.64	1065.85	914.07	405.18	1463.81	86.47	324.42	103.05	1152.36	85.1	737.98	196.77	33.53	65.82	1253.57	88.15	956.58	366.35	112.47	163.09	584.95	681.88	838.16	228.97	347.9	124.13	547.45	265.0	859.71	902.71	191.79	449.69	273.53	615.73	1615.6	216.51	83.87	407.02	790.53	907.67	85.99	167.71	227.0	103.72	401.12	234.26	933.38	934.84	412.64	119.84	265.59	536.77	514.87	745.99	12.11	290.76	961.36	1076.7	
lexingtonky	618.29	221.69	659.22	907.61	404.33	135.64	837.44	640.24	261.87	909.82	24.21	705.59	596.65	891.99	1021.33	344.45	865.97	621.45	487.96	283.75	487.14	400.48	751.51	770.82	1049.47	326.23	285.9	716.86	690.9	419.49	1097.92	991.68	852.07	82.79	433.93	71.2	891.78	0.0	652.82	400.49	586.6	583.79	2455.36	905.88	622.34	653.68	879.65	608.25	510.17	537.97	493.66	382.39	331.16	28.49	470.74	343.92	189.44	671.69	541.01	1079.05	175.42	260.52	437.16	596.0	1054.6	924.83	77.94	941.92	645.34	518.87	466.9	2476.14	196.4	25.19	532.16	1044.18	825.87	609.86	792.4	486.41	942.62	189.37	696.67	890.47	913.81	820.32	895.08	458.31	541.34	972.8	1024.87	566.64	226.29	581.8	932.53	619.0	797.05	371.75	880.89	523.34	338.56	694.5	479.57	639.32	314.72	1201.74	682.18	881.48	515.65	331.68	571.3	879.11	802.79	930.56	958.4	527.0	746.22	365.14	252.26	515.62	772.74	883.92	427.95	491.67	281.08	885.44	1152.55	179.9	465.43	
scrantonpa	77.01	469.58	130.46	360.35	780.72	542.74	1137.42	128.58	447.24	280.46	680.61	120.38	386.0	298.57	1267.89	527.12	289.14	209.29	676.78	472.63	288.3	595.37	149.58	135.66	420.12	614.24	641.79	940.97	186.2	509.75	468.56	363.59	245.26	579.7	685.65	655.27	284.97	652.82	0.0	594.21	807.92	216.53	2790.31	274.17	599.35	137.35	272.84	141.78	149.6	200.67	512.96	831.86	374.24	635.07	493.23	661.28	646.46	260.2	388.3	449.7	479.21	558.52	658.02	155.18	425.25	295.48	679.56	346.66	240.45	256.7	193.1	2811.1	800.72	658.91	239.69	1292.79	191.81	168.26	168.8	939.74	315.04	472.85	120.13	283.67	284.45	1082.55	246.35	757.73	192.09	344.9	395.52	413.93	441.49	664.32	355.7	192.17	161.89	282.31	332.9	717.05	689.37	110.77	212.3	124.71	350.59	1444.59	122.02	225.58	223.18	525.4	765.01	223.3	190.68	353.73	334.25	234.77	138.8	721.05	669.71	248.55	164.81	335.92	321.75	343.86	508.59	278.63	523.19	696.23	877.85	
owossomi	622.58	467.58	446.21	663.89	800.41	265.46	1234.14	655.17	503.86	735.94	424.32	681.39	789.9	678.83	1418.63	92.18	650.69	677.07	793.86	122.74	633.99	685.07	719.07	726.85	875.45	189.53	681.78	1066.63	712.79	664.25	854.62	819.08	751.73	318.97	776.0	393.68	746.08	400.49	594.21	0.0	935.05	370.91	2339.83	733.62	867.69	670.34	769.09	643.76	462.26	593.58	738.94	778.47	235.92	375.73	716.83	740.01	289.78	727.3	734.82	907.73	421.31	166.57	94.08	625.82	882.44	754.06	398.02	728.76	700.96	300.93	522.51	2360.62	457.64	397.0	587.78	1442.16	694.41	665.47	759.96	882.49	770.02	258.86	680.86	779.21	740.75	1215.98	681.99	848.08	596.95	800.2	850.56	759.81	372.01	848.15	728.02	674.62	753.08	352.84	692.72	129.58	734.64	671.5	535.18	651.16	259.42	1598.28	682.75	667.95	571.27	68.52	177.56	666.75	589.74	734.79	785.8	582.61	533.5	761.23	280.16	595.78	740.3	689.26	337.77	690.84	526.97	757.62	896.68	339.43	861.51	
savannahga	762.9	486.76	939.16	1114.39	222.81	706.5	335.64	716.1	503.11	996.98	598.59	800.48	497.98	1016.92	466.11	879.0	1028.62	671.86	148.74	818.42	524.2	251.89	840.98	866.9	1136.64	923.89	311.71	139.19	766.75	324.84	1185.08	1080.11	941.71	664.91	157.01	652.39	980.63	586.6	807.92	935.05	0.0	956.89	2904.38	995.14	304.67	744.81	969.05	683.51	780.2	620.07	322.62	248.34	765.28	616.63	347.0	245.85	781.92	620.51	506.82	1166.22	514.5	833.43	998.86	671.39	1141.77	1012.0	668.99	1063.19	626.02	909.57	636.85	2924.38	646.68	611.27	574.34	491.01	917.6	671.84	881.87	249.94	1031.57	675.63	788.41	979.74	1000.97	280.77	964.7	121.34	631.14	1061.42	1112.04	493.07	595.23	225.76	1112.87	669.37	893.14	697.38	1086.93	1057.89	256.19	793.24	635.37	714.74	728.87	642.81	772.72	943.94	585.96	866.24	1105.85	941.65	945.61	1110.9	1050.77	588.57	947.5	284.59	845.07	569.78	862.21	1089.96	818.53	466.56	420.9	973.58	1239.71	763.04	165.85	
rochesterny	291.09	494.74	86.35	334.88	910.51	464.4	1289.3	343.78	472.4	375.83	607.61	332.66	590.77	318.98	1419.77	325.75	293.24	424.5	825.75	371.21	434.86	724.51	347.36	333.74	515.59	513.61	753.92	1092.85	401.4	656.51	565.62	459.22	391.88	501.39	815.44	576.98	386.22	583.79	216.53	370.91	956.89	0.0	2689.51	373.76	746.3	352.56	409.23	356.99	239.71	349.63	660.7	961.77	258.73	556.52	640.54	791.06	568.56	475.41	535.7	545.31	493.94	461.34	455.69	370.39	522.59	390.85	600.55	368.91	455.66	76.52	340.21	2710.29	719.09	580.3	388.65	1444.68	334.55	383.47	372.36	1065.79	410.17	395.07	332.12	419.35	379.82	1234.44	322.35	887.51	341.06	440.35	490.71	560.68	417.99	813.28	359.8	407.37	328.92	283.78	308.16	484.54	819.15	322.76	359.41	339.77	281.0	1596.47	334.01	308.75	372.14	368.26	532.5	306.38	229.88	357.83	425.94	383.74	173.65	850.83	575.42	396.65	358.91	311.19	161.86	491.71	566.4	397.76	619.58	618.26	1044.81	
fredericksonwa	2817.49	2622.3	2764.94	2985.78	2714.75	2381.12	3110.62	2845.47	2662.48	3054.28	2430.79	2876.86	2987.58	2996.77	3294.51	2368.46	2971.69	2872.85	2896.89	2331.4	2831.93	2816.24	2909.37	2917.15	3193.93	2176.37	2701.66	3000.38	2903.1	2817.86	3242.38	3137.41	3009.93	2378.21	2848.69	2397.11	3049.64	2455.36	2790.31	2339.83	2904.38	2689.51	0.0	3046.9	3020.72	2860.64	3037.51	2838.98	2654.34	2783.88	2892.03	2656.64	2432.23	2441.92	2869.11	2758.44	2266.18	2917.6	2931.93	3223.51	2576.04	2249.81	2263.3	2821.95	3199.06	3069.29	2380.86	3047.4	2896.72	2624.59	2712.81	41.98	2267.08	2432.09	2783.37	3317.36	2973.31	2872.84	2950.26	2760.66	3088.86	2439.23	2871.16	3048.34	3058.27	3093.5	3000.8	2802.13	2787.25	3118.72	3169.34	2957.57	2552.32	2996.86	3038.25	2870.37	2943.38	2548.39	2986.61	2357.85	2753.72	2861.8	2725.48	2846.15	2453.76	3474.92	2873.05	2987.19	2761.57	2327.0	2302.28	2984.83	2908.51	3036.28	3108.07	2772.91	2851.94	2766.16	2206.58	2799.41	2930.6	2989.64	2534.06	2890.04	2681.69	3043.3	3297.01	2315.07	2739.68	
woonsocketri	293.42	724.49	293.05	276.26	1007.85	827.07	1322.54	290.95	702.14	49.36	937.68	195.07	556.57	93.07	1453.01	688.46	164.7	379.87	863.17	735.02	473.41	820.34	156.46	139.85	176.42	876.63	892.26	1126.08	320.45	729.67	224.86	119.9	57.78	864.04	899.0	939.6	14.65	905.88	274.17	733.62	995.14	373.76	3046.9	0.0	784.47	260.73	38.07	319.06	420.8	380.77	698.07	1058.99	621.38	919.4	678.35	888.97	930.79	431.89	573.42	206.0	734.12	824.4	818.4	324.61	181.55	55.9	963.89	102.97	410.53	436.72	443.77	3066.9	1085.05	928.17	419.29	1477.91	82.44	338.53	117.55	1166.87	71.35	757.18	211.28	48.2	53.35	1267.67	75.69	971.09	380.46	101.2	151.82	599.05	696.39	852.27	215.22	362.0	112.66	553.47	251.24	847.24	916.82	206.3	464.2	287.63	621.76	1629.71	231.02	71.41	421.13	730.97	895.21	73.52	155.24	213.24	90.55	415.23	221.79	947.49	938.69	426.75	134.35	251.84	524.3	528.98	760.49	26.18	279.49	980.56	1091.21	
